strain.code,temp,rate.min,domain,kingdom,phylum,binomial.name,aero,trophy
1,37,0.070729304,Bacteria,Bacteria,Proteobacteria,Vibrio natriegens,FA,H
2,65,0.002310491,Bacteria,Bacteria,Firmicutes,Desulfotomaculum sp.,AN,A
3,28,0.001332339,Bacteria,Bacteria,Firmicutes,Geobacillus sp.,FA,H
3,35,0.003632705,Bacteria,Bacteria,Firmicutes,Geobacillus sp.,FA,H
3,40,0.004649862,Bacteria,Bacteria,Firmicutes,Geobacillus sp.,FA,H
3,45,0.005344669,Bacteria,Bacteria,Firmicutes,Geobacillus sp.,FA,H
3,50,0.005344669,Bacteria,Bacteria,Firmicutes,Geobacillus sp.,FA,H
3,55,0.005224564,Bacteria,Bacteria,Firmicutes,Geobacillus sp.,FA,H
3,60,0.003604544,Bacteria,Bacteria,Firmicutes,Geobacillus sp.,FA,H
3,65,0.001236666,Bacteria,Bacteria,Firmicutes,Geobacillus sp.,FA,H
4,36.92364254,0.001122576,Archaea,Euryarchaeota,Euryarchaeota,Methanogenium thermophilicum,AN,H
4,45.08954431,0.003450655,Archaea,Euryarchaeota,Euryarchaeota,Methanogenium thermophilicum,AN,H
4,50.01414965,0.005371222,Archaea,Euryarchaeota,Euryarchaeota,Methanogenium thermophilicum,AN,H
4,55.09794923,0.006666667,Archaea,Euryarchaeota,Euryarchaeota,Methanogenium thermophilicum,AN,H
4,60.1170377,0.004835527,Archaea,Euryarchaeota,Euryarchaeota,Methanogenium thermophilicum,AN,H
4,65.06780634,2.11E-05,Archaea,Euryarchaeota,Euryarchaeota,Methanogenium thermophilicum,AN,H
5,-0.012723782,0.001413734,Eukarya,Protozoa,Euglenozoa,Tetreutreptia pomquetensis,A,M
5,4.978496064,0.001984127,Eukarya,Protozoa,Euglenozoa,Tetreutreptia pomquetensis,A,M
5,6.872479426,0.001585106,Eukarya,Protozoa,Euglenozoa,Tetreutreptia pomquetensis,A,M
5,9.988206319,0.000405701,Eukarya,Protozoa,Euglenozoa,Tetreutreptia pomquetensis,A,M
6,14.41166448,0.003496941,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,16.45315208,0.005734261,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,18.50223481,0.007084687,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,19.56312877,0.007316085,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,21.5209022,0.011584916,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,23.04727865,0.013100876,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,24.12937902,0.013938064,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,25.54813558,0.017227158,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,27.62843691,0.019277011,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,29.5810587,0.022110454,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,31.533063,0.027098179,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,33.55058311,0.02996953,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,35.08004702,0.031483136,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,36.54452439,0.037303496,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,37.58496175,0.040817392,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,43.55679835,0.039195418,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,44.49274738,0.035714741,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,44.83288798,0.035275243,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,45.25798656,0.034995685,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
6,47.54229815,0.008715136,Bacteria,Bacteria,Proteobacteria,Escherichia coli,FA,H
7,65,0.005776227,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor hydrothermalis,AN,H
8,70,0.004620981,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor kronotskyensis,AN,H
9,78,0.005776227,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor kristjanssonii,AN,H
10,50.07796034,0.000332219,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor acetigenus,AN,H
10,55.03449375,0.000571117,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor acetigenus,AN,H
10,59.96083814,0.001410023,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor acetigenus,AN,H
10,64.94538024,0.002342248,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor acetigenus,AN,H
10,67.96629452,0.002301577,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor acetigenus,AN,H
10,74.95890939,0.002073357,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor acetigenus,AN,H
10,78.0611663,0.001666,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor acetigenus,AN,H
11,37.01423281,0.000200192,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
11,41.98589689,0.000313095,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
11,49.8072469,0.000745763,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
11,54.93153586,0.002125795,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
11,59.89875301,0.004272688,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
11,64.95538515,0.005536224,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
11,69.9302256,0.007238066,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
11,74.90474842,0.009634154,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
11,77.92484694,0.009803922,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
11,80.04984264,0.008491907,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
11,82.0115726,0.007355652,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
11,84.87571105,0.004957118,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
11,89.88882683,0.000747984,Bacteria,Bacteria,Firmicutes,Caldicellulosiruptor bescii,AN,H
12,60,0.007701635,Bacteria,Bacteria,Proteobacteria,Caminibacter hydrogeniphilus,AN,A
